"NAME","CATEGORY","상가업소번호","상호명","상권업종대분류명","상권업종중분류명","시도명","시군구명","법정동명","지번주소","도로명","구우편번호","경도","위도","거리"
"심쿠키","기타 간이","MA010120220811508030","심쿠키","음식","기타 간이","서울특별시","마포구","도화동","서울특별시 마포구 도화동 7-6","서울특별시 마포구 도화2길",121812,126.9490858,37.53961775,496
"통큰갈비","한식","MA010120220811479439","통큰갈비","음식","한식","서울특별시","마포구","염리동","서울특별시 마포구 염리동 155-1","서울특별시 마포구 백범로",121873,126.9449222,37.54680698,396
"김미정남원추어탕삼계탕","한식","MA010120220811216302","김미정남원추어탕삼계탕","음식","한식","서울특별시","마포구","대흥동","서울특별시 마포구 대흥동 802","서울특별시 마포구 독막로",121811,126.9449446,37.54441942,234
"정미","일식","MA010120220811769410","정미","음식","일식","서울특별시","마포구","신공덕동","서울특별시 마포구 신공덕동 167","서울특별시 마포구 백범로",121802,126.9528798,37.54342682,476
"카페아에","비알코올 ","MA010120220811654494","카페아에","음식","비알코올 ","서울특별시","마포구","도화동","서울특별시 마포구 도화동 347-71","서울특별시 마포구 도화2길",121813,126.949383,37.53940414,526
"마부마라탕","중식","MA010120220811770221","마부마라탕","음식","중식","서울특별시","마포구","공덕동","서울특별시 마포구 공덕동 476","서울특별시 마포구 백범로",121805,126.9482444,37.54473719,113
"승승","한식","MA010120220811082319","승승","음식","한식","서울특별시","마포구","염리동","서울특별시 마포구 염리동 172-14","서울특별시 마포구 독막로",121874,126.947039,37.54354608,58
"샐러드킹","기타 간이","MA010120220811677404","샐러드킹","음식","기타 간이","서울특별시","마포구","도화동","서울특별시 마포구 도화동 538","서울특별시 마포구 큰우물로",121743,126.9462787,37.54128669,311
"장남식당","한식","MA010120220811729685","장남식당","음식","한식","서울특별시","마포구","용강동","서울특별시 마포구 용강동 119","서울특별시 마포구 토정로33길",121875,126.9424437,37.54121636,538
"봉이맘","한식","MA010120220811808226","봉이맘","음식","한식","서울특별시","마포구","공덕동","서울특별시 마포구 공덕동 256-13","서울특별시 마포구 만리재로",121758,126.9527505,37.54457901,467
"잭슨피자","기타 간이","MA010120220811778582","잭슨피자","음식","기타 간이","서울특별시","마포구","공덕동","서울특별시 마포구 공덕동 479","서울특별시 마포구 백범로31길",121862,126.948679,37.54521861,179
"투썸플레이스","비알코올 ","MA010120220811782826","투썸플레이스","음식","비알코올 ","서울특별시","마포구","도화동","서울특별시 마포구 도화동 37","서울특별시 마포구 마포대로",121732,126.9470781,37.53996028,440
"푸드채널","기타 간이","MA010120220811706659","푸드채널","음식","기타 간이","서울특별시","마포구","공덕동","서울특별시 마포구 공덕동 423-29","서울특별시 마포구 마포대로",121861,126.9513481,37.54452151,345
"함루","일식","MA010120220811783126","함루","음식","일식","서울특별시","마포구","공덕동","서울특별시 마포구 공덕동 478","서울특별시 마포구 백범로",121862,126.9492466,37.54428658,158
"콩닥","비알코올 ","MA010120220811838833","콩닥","음식","비알코올 ","서울특별시","마포구","공덕동","서울특별시 마포구 공덕동 404","서울특별시 마포구 마포대로",121718,126.9521283,37.54618636,479
"미방","한식","MA010120220811970791","미방","음식","한식","서울특별시","마포구","용강동","서울특별시 마포구 용강동 112-2","서울특별시 마포구 토정로",121875,126.9422063,37.54119622,557
"용까쓰","기타 간이","MA010120220812064583","용까쓰","음식","기타 간이","서울특별시","마포구","도화동","서울특별시 마포구 도화동 179-14","서울특별시 마포구 도화길",121812,126.9494381,37.54112562,352
"커피시네마","비알코올 ","MA010120220811995636","커피시네마","음식","비알코올 ","서울특별시","마포구","도화동","서울특별시 마포구 도화동 173","서울특별시 마포구 마포대로",121745,126.9478042,37.54224639,186
"일번지대박집","한식","MA010120220812003478","일번지대박집","음식","한식","서울특별시","마포구","염리동","서울특별시 마포구 염리동 147-28","서울특별시 마포구 숭문길",121872,126.9455945,37.54728153,412
"선향정샤브샤브","한식","MA010120220811994056","선향정샤브샤브","음식","한식","서울특별시","마포구","공덕동","서울특별시 마포구 공덕동 467","서울특별시 마포구 마포대로",121916,126.9508646,37.5451119,324
"셰프클라쓰","일식","MA010120220812002444","셰프클라쓰","음식","일식","서울특별시","마포구","도화동","서울특별시 마포구 도화동 203-2","서울특별시 마포구 삼개로",121813,126.9479278,37.53908483,537
"텐더","서양식","MA010120220812196438","텐더","음식","서양식","서울특별시","마포구","도화동","서울특별시 마포구 도화동 181-1","서울특별시 마포구 새창로",121812,126.9510197,37.54211281,367
"강남교자","한식","MA010120220812183488","강남교자","음식","한식","서울특별시","마포구","도화동","서울특별시 마포구 도화동 563","서울특별시 마포구 마포대로",121815,126.9491392,37.54145635,307
"참나무본가","한식","MA010120220812179790","참나무본가","음식","한식","서울특별시","마포구","공덕동","서울특별시 마포구 공덕동 256-5","서울특별시 마포구 마포대로6길",121803,126.9531704,37.54530357,522
